,unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri,source_file_x,combined_address_x,ADDRESS_V1,fuzzy_match,match_confidence,LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_RATING,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,ENERGY_TARIFF,MAINS_GAS_FLAG,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,MAIN_HEATING_CONTROLS,MULTI_GLAZE_PROPORTION,GLAZED_TYPE,GLAZED_AREA,EXTENSION_COUNT,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,NUMBER_OPEN_FIREPLACES,HOTWATER_DESCRIPTION,HOT_WATER_ENERGY_EFF,HOT_WATER_ENV_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,SECONDHEAT_DESCRIPTION,SHEATING_ENERGY_EFF,SHEATING_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,MAIN_FUEL,WIND_TURBINE_COUNT,HEAT_LOSS_CORRIDOR,UNHEATED_CORRIDOR_LENGTH,FLOOR_HEIGHT,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,CONSTRUCTION_AGE_BAND,LODGEMENT_DATETIME,TENURE,FIXED_LIGHTING_OUTLETS_COUNT,LOW_ENERGY_FIXED_LIGHT_COUNT,UPRN,UPRN_SOURCE,REPORT_TYPE,source_file_y,combined_address_y,_merge
20443,C3C3F9B5-6429-362B-E053-6B04A8C03ACC,316000,2021-02-18,HP10 0DH,T,N,F,nan,35,BOUNDARY ROAD,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/C3C3F9B5-6429-362B-E053-6B04A8C03ACC/current,./data-land_registry/HP10-march2020-to-nov2025.csv,35 boundary road nan hp10 0dh,35 BOUNDARY ROAD HP10 0DH,35 boundary road wooburn green hp10 0dh,82.35294117647058,336397899922019121110010605508861,"35, Boundary Road",Wooburn Green,,HP10 0DH,6092945668.0,D,B,66.0,84.0,House,Mid-Terrace,2019-12-10,E07000007,E14000550,Buckinghamshire,2019-12-11,marketed sale,63.0,83.0,254.0,101.0,2.7,45.0,1.1,48.0,48.0,492.0,407.0,74.0,48.0,60.0,Single,Y,NODATA!,,,2106.0,100.0,"double glazing, unknown install date",Normal,1.0,4.0,4.0,100.0,1.0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,,,,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,NO DATA!,,,,N,natural,"35, Boundary Road, Wooburn Green",Wycombe,Beaconsfield,HIGH WYCOMBE,England and Wales: before 1900,2019-12-11 10:01:06,owner-occupied,,,100080526616.0,Address Matched,100.0,data-epc/domestic-E07000007-Wycombe/certificates.csv,35 boundary road wooburn green hp10 0dh,both
20444,2ACACE8C-958E-295E-E063-4804A8C0B0EB,331000,2024-11-22,HP10 0DH,T,N,F,nan,39,BOUNDARY ROAD,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8C-958E-295E-E063-4804A8C0B0EB/current,./data-land_registry/HP10-march2020-to-nov2025.csv,39 boundary road nan hp10 0dh,39 BOUNDARY ROAD HP10 0DH,39 boundary road wooburn green hp10 0dh,82.35294117647058,492936740512010060112464895000373,"39, Boundary Road",Wooburn Green,,HP10 0DH,3375056768.0,E,C,52.0,70.0,House,Mid-Terrace,2010-06-01,E07000007,E14000550,Buckinghamshire,2010-06-01,marketed sale,53.0,72.0,433.0,263.0,3.6,64.0,2.1,45.0,28.0,600.0,397.0,142.0,101.0,55.58,Single,Y,NO DATA!,,,2105.0,100.0,double glazing installed before 2002,Normal,1.0,3.0,2.0,43.0,1.0,From main system,Average,Good,"Suspended, no insulation (assumed)",,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, wood logs",,,"Pitched, 12 mm loft insulation",Very Poor,Very Poor,"Boiler and radiators, mains gas",Average,Good,Programmer and at least two room thermostats,Good,Good,Low energy lighting in 43% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0.0,NO DATA!,,2.39,0.0,N,natural,"39, Boundary Road, Wooburn Green",Wycombe,Beaconsfield,HIGH WYCOMBE,England and Wales: before 1900,2010-06-01 12:46:48,owner-occupied,,,100080526618.0,Address Matched,100.0,data-epc/domestic-E07000007-Wycombe/certificates.csv,39 boundary road wooburn green hp10 0dh,both
20445,2ACACE8C-958E-295E-E063-4804A8C0B0EB,331000,2024-11-22,HP10 0DH,T,N,F,nan,39,BOUNDARY ROAD,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8C-958E-295E-E063-4804A8C0B0EB/current,./data-land_registry/HP10-march2020-to-nov2025.csv,39 boundary road nan hp10 0dh,39 BOUNDARY ROAD HP10 0DH,39 boundary road wooburn green hp10 0dh,82.35294117647058,18953dfba7c2c8e6ccbb7b8ad6caa17ded95f69ed26a868c0b5a9521403336dc,39 BOUNDARY ROAD,WOOBURN GREEN,,HP10 0DH,10001081348.0,D,B,66.0,85.0,House,Mid-Terrace,2021-06-09,E06000060,E14000550,,2021-06-09,rental,64.0,85.0,243.0,80.0,2.5,44.0,0.9,57.0,57.0,450.0,367.0,81.0,55.0,55.0,Single,Y,,,,,100.0,"double glazing, unknown install date",Normal,1.0,3.0,3.0,80.0,1.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, dual fuel (mineral and wood)",,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 80% of fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.38,0.0,N,natural,"39 BOUNDARY ROAD, WOOBURN GREEN",Buckinghamshire,Beaconsfield,HIGH WYCOMBE,England and Wales: before 1900,2021-06-09 20:18:14,Rented (private),10.0,,100080526618.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,39 boundary road wooburn green hp10 0dh,both
20446,1061746D-B054-3C34-E063-4804A8C0F9E7,600001,2023-09-07,HP10 0DH,D,N,F,nan,59,BOUNDARY ROAD,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/1061746D-B054-3C34-E063-4804A8C0F9E7/current,./data-land_registry/HP10-march2020-to-nov2025.csv,59 boundary road nan hp10 0dh,59 BOUNDARY ROAD HP10 0DH,59 boundary road wooburn green hp10 0dh,82.35294117647058,fc890112a2a2829323321a94a20b247ef3a79b14bf3aa52e8eae486f66c9d3d2,59 Boundary Road,Wooburn Green,,HP10 0DH,10004026550.0,E,B,48.0,84.0,House,Detached,2023-02-13,E06000060,E14000550,,2023-02-14,marketed sale,40.0,81.0,370.0,97.0,6.8,65.0,1.8,142.0,95.0,1222.0,546.0,167.0,82.0,104.0,Single,Y,,,,,100.0,"double glazing, unknown install date",Normal,0.0,6.0,6.0,50.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, mains gas",,,"Pitched, 50 mm loft insulation",Poor,Poor,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 50% of fixed outlets,Good,Good,mains gas (not community),0.0,,,2.47,0.0,N,natural,"59 Boundary Road, Wooburn Green",Buckinghamshire,Beaconsfield,HIGH WYCOMBE,England and Wales: 1930-1949,2023-02-14 12:30:50,Owner-occupied,12.0,,100080526628.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,59 boundary road wooburn green hp10 0dh,both
20447,42C129E4-3CA5-60A9-E063-4804A8C0C25D,565000,2025-08-15,HP10 0DH,S,N,F,nan,63,BOUNDARY ROAD,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/42C129E4-3CA5-60A9-E063-4804A8C0C25D/current,./data-land_registry/HP10-march2020-to-nov2025.csv,63 boundary road nan hp10 0dh,63 BOUNDARY ROAD HP10 0DH,63 boundary road wooburn green hp10 0dh,82.35294117647058,1086438949002016080416250718960528,"63, Boundary Road",Wooburn Green,,HP10 0DH,8090549178.0,E,C,47.0,71.0,House,Semi-Detached,2016-08-02,E07000007,E14000550,Buckinghamshire,2016-08-04,marketed sale,43.0,66.0,355.0,182.0,5.9,62.0,3.0,98.0,61.0,1167.0,836.0,117.0,78.0,94.0,Single,Y,NODATA!,,,2106.0,100.0,"double glazing, unknown install date",Normal,1.0,3.0,3.0,38.0,1.0,From main system,Good,Good,"Suspended, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, electric",,,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 38% of fixed outlets,Average,Average,mains gas (not community),0.0,NO DATA!,,2.47,,N,natural,"63, Boundary Road, Wooburn Green",Wycombe,Beaconsfield,HIGH WYCOMBE,England and Wales: 1900-1929,2016-08-04 16:25:07,owner-occupied,,,100080526630.0,Address Matched,100.0,data-epc/domestic-E07000007-Wycombe/certificates.csv,63 boundary road wooburn green hp10 0dh,both
20448,42C129E4-3CA5-60A9-E063-4804A8C0C25D,565000,2025-08-15,HP10 0DH,S,N,F,nan,63,BOUNDARY ROAD,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/42C129E4-3CA5-60A9-E063-4804A8C0C25D/current,./data-land_registry/HP10-march2020-to-nov2025.csv,63 boundary road nan hp10 0dh,63 BOUNDARY ROAD HP10 0DH,63 boundary road wooburn green hp10 0dh,82.35294117647058,56687cb1942aca92a0abc575dd033a95eaad06d473379a2a83be018634ae3a89,63 Boundary Road,Wooburn Green,,HP10 0DH,10007494149.0,D,B,66.0,85.0,House,Semi-Detached,2025-04-15,E06000060,E14001082,,2025-04-22,marketed sale,59.0,83.0,224.0,83.0,4.7,40.0,1.8,110.0,110.0,1094.0,673.0,209.0,120.0,118.0,Single,Y,,,,,100.0,double glazing installed during or after 2002,Normal,1.0,6.0,6.0,100.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Good,Good,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,,,,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.42,0.0,N,natural,"63 Boundary Road, Wooburn Green",Buckinghamshire,,HIGH WYCOMBE,England and Wales: 1930-1949,2025-04-22 06:51:43,Owner-occupied,28.0,,100080526630.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,63 boundary road wooburn green hp10 0dh,both
20449,D22473F4-DDB8-7B40-E053-6C04A8C0A630,499000,2021-08-26,HP10 0DH,S,N,F,nan,71,BOUNDARY ROAD,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/D22473F4-DDB8-7B40-E053-6C04A8C0A630/current,./data-land_registry/HP10-march2020-to-nov2025.csv,71 boundary road nan hp10 0dh,71 BOUNDARY ROAD HP10 0DH,71 boundary road wooburn green hp10 0dh,82.35294117647058,7f913349558f80041824256b3f49a1a29d4b957e5670796452a25a226821babd,71 BOUNDARY ROAD,WOOBURN GREEN,,HP10 0DH,10001174829.0,D,B,63.0,87.0,House,Semi-Detached,2021-04-26,E06000060,E14000550,,2021-04-30,marketed sale,62.0,88.0,252.0,68.0,3.2,41.0,0.8,64.0,64.0,631.0,373.0,101.0,70.0,79.0,Single,Y,,,,,100.0,double glazing installed during or after 2002,More Than Typical,1.0,5.0,5.0,100.0,0.0,From main system,Good,Good,"Suspended, no insulation (assumed)",,,Fully double glazed,Good,Good,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, wood logs",,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.4,0.0,N,natural,"71 BOUNDARY ROAD, WOOBURN GREEN",Buckinghamshire,Beaconsfield,WOOBURN GREEN,England and Wales: before 1900,2021-04-30 06:26:28,Owner-occupied,21.0,,100080526634.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,71 boundary road wooburn green hp10 0dh,both
20450,F87E72F8-9E55-176C-E053-6B04A8C0D2BE,420000,2023-03-02,HP10 0DH,S,N,F,nan,75,BOUNDARY ROAD,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/F87E72F8-9E55-176C-E053-6B04A8C0D2BE/current,./data-land_registry/HP10-march2020-to-nov2025.csv,75 boundary road nan hp10 0dh,75 BOUNDARY ROAD HP10 0DH,75 boundary road wooburn green hp10 0dh,82.35294117647058,89f68e97a3b4434d95cad01763b8844d76b94e514d475f5961b58a042a9eb3d1,75 Boundary Road,Wooburn Green,,HP10 0DH,10003485690.0,D,B,58.0,83.0,House,Semi-Detached,2022-10-14,E06000060,E14000550,,2022-10-14,marketed sale,55.0,82.0,288.0,97.0,3.8,50.0,1.3,86.0,68.0,777.0,493.0,89.0,63.0,76.0,Single,Y,,,,,100.0,double glazing installed during or after 2002,Normal,1.0,3.0,3.0,73.0,0.0,From main system,Good,Good,"Suspended, no insulation (assumed)",,,Fully double glazed,Good,Good,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, electric",,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 73% of fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.47,0.0,N,natural,"75 Boundary Road, Wooburn Green",Buckinghamshire,Beaconsfield,HIGH WYCOMBE,England and Wales: 1900-1929,2022-10-14 13:13:44,Owner-occupied,11.0,,100080526636.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,75 boundary road wooburn green hp10 0dh,both
20451,402A3A65-877D-A7DF-E063-4804A8C0B80D,512500,2025-08-29,HP10 0DJ,S,N,F,nan,87,BOUNDARY ROAD,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/402A3A65-877D-A7DF-E063-4804A8C0B80D/current,./data-land_registry/HP10-march2020-to-nov2025.csv,87 boundary road nan hp10 0dj,87 BOUNDARY ROAD HP10 0DJ,87 boundary road wooburn green hp10 0dj,82.35294117647058,1798521555032020051919301964978202,"87, Boundary Road",Wooburn Green,,HP10 0DJ,5214210778.0,E,B,53.0,82.0,House,Semi-Detached,2020-05-18,E06000060,E14000550,Buckinghamshire,2020-05-19,marketed sale,46.0,78.0,304.0,102.0,5.5,56.0,1.9,98.0,74.0,945.0,519.0,136.0,83.0,99.0,Unknown,Y,NODATA!,,,2106.0,13.0,"double glazing, unknown install date",Normal,1.0,6.0,6.0,67.0,1.0,From main system,Good,Good,"Suspended, no insulation (assumed)",NO DATA!,,Some double glazing,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, dual fuel (mineral and wood)",,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 67% of fixed outlets,Good,Good,mains gas (not community),0.0,NO DATA!,,,,N,natural,"87, Boundary Road, Wooburn Green",Buckinghamshire,Beaconsfield,HIGH WYCOMBE,England and Wales: 1900-1929,2020-05-19 19:30:19,owner-occupied,,,100080526642.0,Address Matched,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,87 boundary road wooburn green hp10 0dj,both
20452,402A3A65-877D-A7DF-E063-4804A8C0B80D,512500,2025-08-29,HP10 0DJ,S,N,F,nan,87,BOUNDARY ROAD,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/402A3A65-877D-A7DF-E063-4804A8C0B80D/current,./data-land_registry/HP10-march2020-to-nov2025.csv,87 boundary road nan hp10 0dj,87 BOUNDARY ROAD HP10 0DJ,87 boundary road wooburn green hp10 0dj,82.35294117647058,dd28d4580bc78f1918ce50cc6efbd2fa90a06dc13b56b25cfcc7ec5e3cb03c67,87 Boundary Road,Wooburn Green,,HP10 0DJ,10007841495.0,D,B,64.0,84.0,House,Semi-Detached,2025-06-05,E06000060,E14001082,,2025-06-06,marketed sale,57.0,80.0,233.0,96.0,4.8,41.0,2.0,109.0,109.0,1170.0,746.0,184.0,121.0,118.0,Unknown,Y,,,,,80.0,double glazing installed during or after 2002,Normal,1.0,5.0,5.0,100.0,0.0,From main system,Good,Good,"Suspended, no insulation (assumed)",,,Mostly double glazing,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,,,,"Pitched, 75 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.39,0.0,N,natural,"87 Boundary Road, Wooburn Green",Buckinghamshire,,HIGH WYCOMBE,England and Wales: 1900-1929,2025-06-06 12:53:01,Owner-occupied,12.0,,100080526642.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,87 boundary road wooburn green hp10 0dj,both
20453,06C9F487-2720-9388-E063-4804A8C0BD98,500000,2023-07-10,HP10 0DJ,S,N,F,nan,87,BOUNDARY ROAD,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/06C9F487-2720-9388-E063-4804A8C0BD98/current,./data-land_registry/HP10-march2020-to-nov2025.csv,87 boundary road nan hp10 0dj,87 BOUNDARY ROAD HP10 0DJ,87 boundary road wooburn green hp10 0dj,82.35294117647058,1798521555032020051919301964978202,"87, Boundary Road",Wooburn Green,,HP10 0DJ,5214210778.0,E,B,53.0,82.0,House,Semi-Detached,2020-05-18,E06000060,E14000550,Buckinghamshire,2020-05-19,marketed sale,46.0,78.0,304.0,102.0,5.5,56.0,1.9,98.0,74.0,945.0,519.0,136.0,83.0,99.0,Unknown,Y,NODATA!,,,2106.0,13.0,"double glazing, unknown install date",Normal,1.0,6.0,6.0,67.0,1.0,From main system,Good,Good,"Suspended, no insulation (assumed)",NO DATA!,,Some double glazing,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, dual fuel (mineral and wood)",,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 67% of fixed outlets,Good,Good,mains gas (not community),0.0,NO DATA!,,,,N,natural,"87, Boundary Road, Wooburn Green",Buckinghamshire,Beaconsfield,HIGH WYCOMBE,England and Wales: 1900-1929,2020-05-19 19:30:19,owner-occupied,,,100080526642.0,Address Matched,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,87 boundary road wooburn green hp10 0dj,both
20454,06C9F487-2720-9388-E063-4804A8C0BD98,500000,2023-07-10,HP10 0DJ,S,N,F,nan,87,BOUNDARY ROAD,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/06C9F487-2720-9388-E063-4804A8C0BD98/current,./data-land_registry/HP10-march2020-to-nov2025.csv,87 boundary road nan hp10 0dj,87 BOUNDARY ROAD HP10 0DJ,87 boundary road wooburn green hp10 0dj,82.35294117647058,dd28d4580bc78f1918ce50cc6efbd2fa90a06dc13b56b25cfcc7ec5e3cb03c67,87 Boundary Road,Wooburn Green,,HP10 0DJ,10007841495.0,D,B,64.0,84.0,House,Semi-Detached,2025-06-05,E06000060,E14001082,,2025-06-06,marketed sale,57.0,80.0,233.0,96.0,4.8,41.0,2.0,109.0,109.0,1170.0,746.0,184.0,121.0,118.0,Unknown,Y,,,,,80.0,double glazing installed during or after 2002,Normal,1.0,5.0,5.0,100.0,0.0,From main system,Good,Good,"Suspended, no insulation (assumed)",,,Mostly double glazing,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,,,,"Pitched, 75 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.39,0.0,N,natural,"87 Boundary Road, Wooburn Green",Buckinghamshire,,HIGH WYCOMBE,England and Wales: 1900-1929,2025-06-06 12:53:01,Owner-occupied,12.0,,100080526642.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,87 boundary road wooburn green hp10 0dj,both
20455,B32EBB13-4987-3C99-E053-6C04A8C09CA1,405000,2020-08-18,HP10 0DJ,S,N,F,nan,87,BOUNDARY ROAD,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/B32EBB13-4987-3C99-E053-6C04A8C09CA1/current,./data-land_registry/HP10-march2020-to-nov2025.csv,87 boundary road nan hp10 0dj,87 BOUNDARY ROAD HP10 0DJ,87 boundary road wooburn green hp10 0dj,82.35294117647058,1798521555032020051919301964978202,"87, Boundary Road",Wooburn Green,,HP10 0DJ,5214210778.0,E,B,53.0,82.0,House,Semi-Detached,2020-05-18,E06000060,E14000550,Buckinghamshire,2020-05-19,marketed sale,46.0,78.0,304.0,102.0,5.5,56.0,1.9,98.0,74.0,945.0,519.0,136.0,83.0,99.0,Unknown,Y,NODATA!,,,2106.0,13.0,"double glazing, unknown install date",Normal,1.0,6.0,6.0,67.0,1.0,From main system,Good,Good,"Suspended, no insulation (assumed)",NO DATA!,,Some double glazing,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, dual fuel (mineral and wood)",,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 67% of fixed outlets,Good,Good,mains gas (not community),0.0,NO DATA!,,,,N,natural,"87, Boundary Road, Wooburn Green",Buckinghamshire,Beaconsfield,HIGH WYCOMBE,England and Wales: 1900-1929,2020-05-19 19:30:19,owner-occupied,,,100080526642.0,Address Matched,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,87 boundary road wooburn green hp10 0dj,both
20456,B32EBB13-4987-3C99-E053-6C04A8C09CA1,405000,2020-08-18,HP10 0DJ,S,N,F,nan,87,BOUNDARY ROAD,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/B32EBB13-4987-3C99-E053-6C04A8C09CA1/current,./data-land_registry/HP10-march2020-to-nov2025.csv,87 boundary road nan hp10 0dj,87 BOUNDARY ROAD HP10 0DJ,87 boundary road wooburn green hp10 0dj,82.35294117647058,dd28d4580bc78f1918ce50cc6efbd2fa90a06dc13b56b25cfcc7ec5e3cb03c67,87 Boundary Road,Wooburn Green,,HP10 0DJ,10007841495.0,D,B,64.0,84.0,House,Semi-Detached,2025-06-05,E06000060,E14001082,,2025-06-06,marketed sale,57.0,80.0,233.0,96.0,4.8,41.0,2.0,109.0,109.0,1170.0,746.0,184.0,121.0,118.0,Unknown,Y,,,,,80.0,double glazing installed during or after 2002,Normal,1.0,5.0,5.0,100.0,0.0,From main system,Good,Good,"Suspended, no insulation (assumed)",,,Mostly double glazing,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,,,,"Pitched, 75 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.39,0.0,N,natural,"87 Boundary Road, Wooburn Green",Buckinghamshire,,HIGH WYCOMBE,England and Wales: 1900-1929,2025-06-06 12:53:01,Owner-occupied,12.0,,100080526642.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,87 boundary road wooburn green hp10 0dj,both
